Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037573402","Census Tract 5734.02, Los Angeles County, California","ACSSF","ca","140","00","0006193",,,,,"06","037",,,"573402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573402","Census Tract 5734.02",,,,2617,130,65,85,257,87,104,0,69,0,233,382,216,314,212,189,274,4.97,2.48,3.25,9.82,3.32,3.97,0,2.64,0,8.9,14.6,8.25,12,8.1,7.22,10.47
"06037573403","Census Tract 5734.03, Los Angeles County, California","ACSSF","ca","140","00","0006194",,,,,"06","037",,,"573403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573403","Census Tract 5734.03",,,,1417,26,36,61,32,8,29,11,25,0,63,189,136,239,125,180,257,1.83,2.54,4.3,2.26,0.56,2.05,0.78,1.76,0,4.45,13.34,9.6,16.87,8.82,12.7,18.14
"06037573601","Census Tract 5736.01, Los Angeles County, California","ACSSF","ca","140","00","0006195",,,,,"06","037",,,"573601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573601","Census Tract 5736.01",,,,2361,73,0,42,13,0,11,97,7,69,106,397,173,365,193,304,511,3.09,0,1.78,0.55,0,0.47,4.11,0.3,2.92,4.49,16.81,7.33,15.46,8.17,12.88,21.64
"06037573700","Census Tract 5737, Los Angeles County, California","ACSSF","ca","140","00","0006196",,,,,"06","037",,,"573700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573700","Census Tract 5737",,,,1722,8,21,38,24,30,8,21,16,20,61,57,255,215,279,231,438,0.46,1.22,2.21,1.39,1.74,0.46,1.22,0.93,1.16,3.54,3.31,14.81,12.49,16.2,13.41,25.44
"06037573800","Census Tract 5738, Los Angeles County, California","ACSSF","ca","140","00","0006197",,,,,"06","037",,,"573800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573800","Census Tract 5738",,,,1507,113,56,8,9,22,37,24,8,5,23,160,167,119,120,261,375,7.5,3.72,0.53,0.6,1.46,2.46,1.59,0.53,0.33,1.53,10.62,11.08,7.9,7.96,17.32,24.88
"06037573902","Census Tract 5739.02, Los Angeles County, California","ACSSF","ca","140","00","0006198",,,,,"06","037",,,"573902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573902","Census Tract 5739.02",,,,883,18,8,16,29,24,5,20,17,26,12,58,74,58,61,152,305,2.04,0.91,1.81,3.28,2.72,0.57,2.27,1.93,2.94,1.36,6.57,8.38,6.57,6.91,17.21,34.54
"06037574000","Census Tract 5740, Los Angeles County, California","ACSSF","ca","140","00","0006199",,,,,"06","037",,,"574000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574000","Census Tract 5740",,,,1938,96,20,0,19,9,8,42,13,9,73,80,247,296,283,240,503,4.95,1.03,0,0.98,0.46,0.41,2.17,0.67,0.46,3.77,4.13,12.75,15.27,14.6,12.38,25.95
"06037574100","Census Tract 5741, Los Angeles County, California","ACSSF","ca","140","00","0006200",,,,,"06","037",,,"574100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574100","Census Tract 5741",,,,1850,13,22,52,27,11,6,45,111,8,44,96,276,250,305,357,227,0.7,1.19,2.81,1.46,0.59,0.32,2.43,6,0.43,2.38,5.19,14.92,13.51,16.49,19.3,12.27
"06037574201","Census Tract 5742.01, Los Angeles County, California","ACSSF","ca","140","00","0006201",,,,,"06","037",,,"574201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574201","Census Tract 5742.01",,,,1054,10,11,9,14,28,9,37,6,9,9,135,81,167,101,210,218,0.95,1.04,0.85,1.33,2.66,0.85,3.51,0.57,0.85,0.85,12.81,7.69,15.84,9.58,19.92,20.68
"06037574202","Census Tract 5742.02, Los Angeles County, California","ACSSF","ca","140","00","0006202",,,,,"06","037",,,"574202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574202","Census Tract 5742.02",,,,765,5,25,26,18,18,54,22,10,18,26,71,112,99,36,131,94,0.65,3.27,3.4,2.35,2.35,7.06,2.88,1.31,2.35,3.4,9.28,14.64,12.94,4.71,17.12,12.29
"06037574300","Census Tract 5743, Los Angeles County, California","ACSSF","ca","140","00","0006203",,,,,"06","037",,,"574300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574300","Census Tract 5743",,,,2192,0,27,28,67,29,22,58,77,29,65,163,437,261,199,307,423,0,1.23,1.28,3.06,1.32,1,2.65,3.51,1.32,2.97,7.44,19.94,11.91,9.08,14.01,19.3
"06037574400","Census Tract 5744, Los Angeles County, California","ACSSF","ca","140","00","0006204",,,,,"06","037",,,"574400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574400","Census Tract 5744",,,,2016,92,0,22,27,17,24,20,0,37,134,161,307,157,174,378,466,4.56,0,1.09,1.34,0.84,1.19,0.99,0,1.84,6.65,7.99,15.23,7.79,8.63,18.75,23.12
"06037574500","Census Tract 5745, Los Angeles County, California","ACSSF","ca","140","00","0006205",,,,,"06","037",,,"574500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574500","Census Tract 5745",,,,2266,65,27,49,48,55,32,0,30,34,55,143,445,139,149,362,633,2.87,1.19,2.16,2.12,2.43,1.41,0,1.32,1.5,2.43,6.31,19.64,6.13,6.58,15.98,27.93
"06037574602","Census Tract 5746.02, Los Angeles County, California","ACSSF","ca","140","00","0006206",,,,,"06","037",,,"574602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574602","Census Tract 5746.02",,,,562,0,0,23,11,21,12,18,12,4,49,44,62,63,15,66,162,0,0,4.09,1.96,3.74,2.14,3.2,2.14,0.71,8.72,7.83,11.03,11.21,2.67,11.74,28.83
"06037574800","Census Tract 5748, Los Angeles County, California","ACSSF","ca","140","00","0006207",,,,,"06","037",,,"574800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574800","Census Tract 5748",,,,1541,151,21,13,60,20,136,27,8,65,207,79,178,112,63,73,328,9.8,1.36,0.84,3.89,1.3,8.83,1.75,0.52,4.22,13.43,5.13,11.55,7.27,4.09,4.74,21.28
"06037574901","Census Tract 5749.01, Los Angeles County, California","ACSSF","ca","140","00","0006208",,,,,"06","037",,,"574901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574901","Census Tract 5749.01",,,,1392,46,23,6,9,0,17,48,42,0,140,60,131,125,191,260,294,3.3,1.65,0.43,0.65,0,1.22,3.45,3.02,0,10.06,4.31,9.41,8.98,13.72,18.68,21.12
"06037574902","Census Tract 5749.02, Los Angeles County, California","ACSSF","ca","140","00","0006209",,,,,"06","037",,,"574902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574902","Census Tract 5749.02",,,,1827,271,69,41,66,54,88,108,19,74,101,146,254,105,172,130,129,14.83,3.78,2.24,3.61,2.96,4.82,5.91,1.04,4.05,5.53,7.99,13.9,5.75,9.41,7.12,7.06
"06037575001","Census Tract 5750.01, Los Angeles County, California","ACSSF","ca","140","00","0006210",,,,,"06","037",,,"575001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575001","Census Tract 5750.01",,,,1825,89,41,85,56,14,48,17,82,24,106,81,350,173,216,192,251,4.88,2.25,4.66,3.07,0.77,2.63,0.93,4.49,1.32,5.81,4.44,19.18,9.48,11.84,10.52,13.75
"06037575002","Census Tract 5750.02, Los Angeles County, California","ACSSF","ca","140","00","0006211",,,,,"06","037",,,"575002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575002","Census Tract 5750.02",,,,1928,108,94,57,81,67,66,144,60,47,180,87,212,96,204,222,203,5.6,4.88,2.96,4.2,3.48,3.42,7.47,3.11,2.44,9.34,4.51,11,4.98,10.58,11.51,10.53
"06037575101","Census Tract 5751.01, Los Angeles County, California","ACSSF","ca","140","00","0006212",,,,,"06","037",,,"575101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575101","Census Tract 5751.01",,,,1511,124,146,81,19,101,58,71,44,134,130,186,270,73,34,34,6,8.21,9.66,5.36,1.26,6.68,3.84,4.7,2.91,8.87,8.6,12.31,17.87,4.83,2.25,2.25,0.4
"06037575102","Census Tract 5751.02, Los Angeles County, California","ACSSF","ca","140","00","0006213",,,,,"06","037",,,"575102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575102","Census Tract 5751.02",,,,1338,66,106,72,82,129,151,55,96,40,87,120,148,79,38,22,47,4.93,7.92,5.38,6.13,9.64,11.29,4.11,7.17,2.99,6.5,8.97,11.06,5.9,2.84,1.64,3.51
